Year,Rd,Pk,Tm,Player,Pos,College,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2018,1,1,PHO,Deandre Ayton,C,University of Arizona,71,30.7,16.3,10.3,1.8,0.9,0.9,.585,.000,.746,5.9,.130
2018,1,2,SAC,Marvin Bagley,F,Duke University,58,25.1,14.8,7.4,1.0,0.6,1.0,.513,.310,.696,3.6,.120
2018,1,3,ATL,Luka Doncic,G-F,,71,32.2,21.2,7.7,5.9,1.0,0.4,.427,.326,.711,4.8,.100
2018,1,4,MEM,Jaren Jackson,F,Michigan State University,58,26.1,13.8,4.7,1.1,0.9,1.4,.506,.359,.766,3.3,.106
2018,1,5,DAL,Trae Young,G,University of Oklahoma,79,30.9,19.0,3.7,8.1,0.8,0.2,.419,.327,.828,3.2,.063
2018,1,6,ORL,Mohamed Bamba,C,University of Texas at Austin,47,16.3,6.2,5.0,0.8,0.3,1.4,.481,.300,.587,1.7,.105
2018,1,7,CHI,Wendell Carter,C,Duke University,44,25.2,10.3,7.0,1.8,0.6,1.3,.485,.188,.795,1.9,.081
2018,1,8,CLE,Collin Sexton,G,University of Alabama,78,31.5,16.6,3.0,2.8,0.5,0.1,.428,.407,.841,-0.6,-0.012
2018,1,9,NYK,Kevin Knox,F,University of Kentucky,71,28.6,12.8,4.3,1.0,0.6,0.3,.373,.351,.734,-1.1,-0.027
2018,1,10,PHI,Mikal Bridges,G,Villanova University,79,29.0,8.2,3.2,2.1,1.6,0.5,.430,.337,.796,2.8,.059
2018,1,11,CHO,Shai Gilgeous-Alexander,G,University of Kentucky,79,26.4,10.7,2.8,3.3,1.2,0.6,.474,.381,.800,3.2,.074
2018,1,12,LAC,Miles Bridges,G-F,Michigan State University,76,20.6,7.2,4.0,1.0,0.7,0.6,.457,.321,.746,2.4,.073
2018,1,13,LAC,Jerome Robinson,G,Boston College,30,9.2,3.1,1.1,0.5,0.3,0.1,.383,.320,.714,0.1,.021
2018,1,14,DEN,Michael Porter,F,University of Missouri,,,,,,,,,,,,
2018,1,15,WAS,Troy Brown,G-F,University of Oregon,49,13.1,4.4,2.6,1.4,0.4,0.1,.414,.328,.667,0.5,.041
2018,1,16,PHO,Zhaire Smith,G,Texas Tech University,2,7.5,1.5,0.5,0.5,0.5,0.5,.500,1.000,,0.1,.162
2018,1,17,MIL,Donte DiVincenzo,G,Villanova University,27,15.2,4.9,2.4,1.1,0.5,0.2,.403,.265,.750,0.6,.071
2018,1,18,SAS,Lonnie Walker,G,University of Miami,14,6.9,2.7,1.0,0.4,0.4,0.1,.325,.455,.875,0.0,-0.015
2018,1,19,ATL,Kevin Huerter,G,University of Maryland,73,27.3,9.6,3.2,2.8,0.9,0.3,.415,.378,.732,1.4,.033
2018,1,20,MIN,Josh Okogie,G,Georgia Institute of Technology,70,23.8,7.9,3.1,1.2,1.1,0.4,.389,.282,.726,1.2,.033
2018,1,21,UTA,Grayson Allen,G,Duke University,34,9.4,4.1,0.4,0.5,0.1,0.1,.346,.304,.690,-0.2,-0.024
2018,1,22,CHI,Chandler Hutchison,G,Boise State University,44,20.3,5.2,4.2,0.8,0.5,0.1,.459,.280,.605,0.6,.030
2018,1,23,IND,Aaron Holiday,G,"University of California, Los Angeles",47,12.3,5.6,1.3,1.6,0.4,0.3,.398,.333,.844,0.9,.072
2018,1,24,POR,Anfernee Simons,G,,18,4.9,2.1,0.4,0.2,0.0,0.0,.375,.176,.500,-0.3,-0.138
2018,1,25,LAL,Moritz Wagner,F-C,University of Michigan,39,9.8,4.5,1.9,0.6,0.3,0.3,.421,.314,.780,0.2,.026
2018,1,26,PHI,Landry Shamet,G,Wichita State University,76,22.7,9.1,1.7,1.4,0.5,0.1,.431,.418,.828,3.5,.097
2018,1,27,BOS,Robert Williams,F,Texas A&M University,30,8.3,2.5,2.3,0.2,0.3,1.2,.717,,.643,1.1,.209
2018,1,28,GSW,Jacob Evans,G-F,University of Cincinnati,27,5.0,0.8,0.6,0.6,0.0,0.0,.303,.125,.000,-0.2,-0.066
2018,1,29,BRK,Dzanan Musa,G-F,,8,4.3,2.0,0.5,0.1,0.3,0.0,.400,.000,.000,-0.2,-0.225
2018,1,30,ATL,Omari Spellman,F,Villanova University,46,17.5,5.9,4.2,1.0,0.6,0.5,.402,.344,.711,1.2,.072
2018,2,31,PHO,Elie Okobo,G,,50,17.7,5.5,1.9,2.3,0.6,0.1,.386,.289,.767,-0.6,-0.032
2018,2,32,MEM,Jevon Carter,G,West Virginia University,35,14.1,3.2,1.5,1.8,0.7,0.3,.248,.234,.792,-0.6,-0.058
2018,2,33,DAL,Jalen Brunson,G,Villanova University,70,21.5,9.2,2.3,3.0,0.5,0.1,.470,.358,.727,2.5,.079
2018,2,34,ATL,Devonte' Graham,G,University of Kansas,42,14.5,4.8,1.3,2.7,0.5,0.0,.349,.286,.750,0.6,.045
2018,2,35,ORL,Melvin Frazier,G,Tulane University,9,4.4,1.4,0.6,0.1,0.1,0.0,.333,.000,.500,-0.1,-0.095
2018,2,36,NYK,Mitchell Robinson,C,,62,20.0,7.1,6.2,0.6,0.8,2.5,.690,,.589,5.6,.219
2018,2,37,SAC,Gary Trent,G,Duke University,14,4.5,1.5,0.6,0.1,0.0,0.1,.258,.250,.250,-0.2,-0.178
2018,2,38,PHI,Khyri Thomas,G,Creighton University,24,7.9,2.5,0.8,0.3,0.3,0.2,.338,.286,.636,0.1,.025
2018,2,39,PHI,Isaac Bonga,G,,18,3.9,0.8,0.9,0.5,0.3,0.1,.167,.000,.667,-0.1,-0.088
2018,2,40,BRK,Rodions Kurucs,F,,60,20.4,8.4,3.8,0.8,0.7,0.4,.466,.331,.782,1.6,.062
2018,2,41,ORL,Jarred Vanderbilt,F,University of Kentucky,15,3.6,1.3,1.5,0.2,0.3,0.1,.471,.000,.500,0.1,.088
2018,2,42,DET,Bruce Brown,G,University of Miami,70,19.4,4.2,2.5,1.2,0.5,0.5,.388,.264,.717,1.1,.038
2018,2,43,DEN,Justin Jackson,F,University of Maryland,,,,,,,,,,,,
2018,2,44,WAS,Issuf Sanon,G,,,,,,,,,,,,,
2018,2,45,BRK,Hamidou Diallo,G,University of Kentucky,50,10.5,3.8,1.9,0.3,0.4,0.2,.455,.167,.610,0.8,.069
2018,2,46,HOU,De'Anthony Melton,G,University of Southern California,47,19.5,4.8,2.6,3.2,1.4,0.5,.380,.304,.727,0.0,.000
2018,2,47,LAL,Sviatoslav Mykhailiuk,G-F,University of Kansas,42,10.5,3.2,0.9,0.9,0.3,0.0,.329,.326,.600,-0.1,-0.013
2018,2,48,MIN,Keita Bates-Diop,F,Ohio State University,26,16.0,4.8,2.5,0.5,0.5,0.5,.422,.256,.625,0.3,.037
